#Datasets, 4_TES_45_mRNA, 5_TES_129_mRNA, 7_TES_027_mRNA, 17_TES_144_mRNA, 23_TES_136_mRNA, 32_TES_43_mRNA, 37_TES_034_mRNA, 42_TES_027_mRNA, 44_TES_140_mRNA, 49_TES_40_mRNA, 55_TES_134_mRNA, 58_TES_130_merged_mRNA, 59_TES_139_mRNA, 66_TES_026_mRNA, 70_TES_135_mRNA, 73_TES_031_mRNA, 79_TES_35_mRNA, 85_TES_029_mRNA, 86_TES_44_mRNA, 87_TES_128_mRNA, 90_TES_138_mRNA, 104_TES_131_mRNA, 110_TES_036_mRNA, 113_TES_122_mRNA, 117_TES_141_mRNA, 119_TES_042_mRNA, 122_TES_121_mRNA, 123_TES_033_mRNA, 130_TES_133_mRNA, 137_TES_038_mRNA, 143_TES_025_mRNA
"K1000902 Monoterpenoid biosynthesis", 1, 5, 3, 10, 3, 0, 5, 11, 27, 1, 4, 2, 1, 3, 5, 3, 4, 3, 5, 4, 8, 3, 14, 8, 3, 0, 4, 5, 11, 5, 8
"K1000903 Limonene and pinene degradation", 762, 1496, 1921, 1424, 1163, 0, 2018, 2239, 2241, 1431, 1123, 331, 375, 1010, 1350, 1180, 1095, 1000, 2607, 1073, 1955, 3259, 2585, 2153, 1109, 186, 724, 1433, 1774, 1851, 1740
"K1000908 Zeatin biosynthesis", 30, 65, 93, 48, 40, 0, 96, 72, 154, 41, 41, 18, 21, 44, 58, 51, 55, 58, 190, 45, 157, 344, 105, 126, 44, 5, 28, 74, 70, 56, 56
"K1000909 Sesquiterpenoid and triterpenoid biosynthesis", 1, 6, 12, 4, 0, 0, 13, 6, 22, 2, 2, 1, 6, 5, 1, 3, 4, 7, 6, 2, 6, 5, 3, 12, 17, 0, 3, 9, 5, 15, 2
"K1000906 Carotenoid biosynthesis", 59, 86, 117, 89, 59, 0, 119, 73, 221, 72, 54, 16, 25, 49, 65, 79, 90, 51, 86, 51, 79, 86, 197, 168, 72, 13, 31, 69, 130, 89, 95
"K1000905 Brassinosteroid biosynthesis", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3
"K1000940 Phenylpropanoid biosynthesis", 819, 1475, 2306, 1478, 927, 0, 1952, 1919, 1861, 972, 967, 425, 346, 893, 1388, 1305, 1170, 1416, 3095, 1054, 2673, 5677, 2310, 1827, 1398, 131, 712, 1641, 1610, 1486, 1244
"K1000945 Stilbenoid, diarylheptanoid and gingerol biosynthesis", 18, 15, 21, 22, 14, 0, 24, 20, 67, 24, 12, 9, 8, 17, 21, 23, 25, 10, 29, 19, 26, 11, 53, 39, 29, 0, 6, 23, 36, 22, 35
"K1000941 Flavonoid biosynthesis", 60, 98, 170, 90, 105, 0, 213, 97, 236, 92, 68, 34, 34, 71, 99, 100, 132, 69, 118, 75, 94, 66, 189, 229, 123, 11, 43, 108, 123, 155, 137
"K1000944 Flavone and flavonol biosynthesis", 18, 55, 57, 30, 20, 0, 41, 39, 23, 29, 15, 13, 10, 11, 24, 50, 24, 40, 194, 21, 241, 353, 18, 37, 63, 3, 14, 46, 28, 56, 22
"K1000942 Anthocyanin biosynthesis", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
"K1000943 Isoflavonoid biosynthesis", 4, 18, 10, 5, 5, 0, 18, 9, 20, 7, 4, 4, 7, 8, 7, 10, 14, 8, 15, 9, 6, 17, 23, 13, 9, 0, 5, 10, 6, 14, 5
"K1000901 Indole alkaloid biosynthesis", 10, 29, 45, 18, 10, 0, 28, 25, 73, 19, 7, 13, 11, 12, 26, 23, 19, 16, 31, 19, 18, 12, 36, 48, 24, 3, 11, 15, 33, 23, 29
"K1000950 Isoquinoline alkaloid biosynthesis", 361, 1016, 1507, 959, 1119, 0, 1364, 1048, 1161, 775, 533, 185, 200, 491, 1172, 626, 509, 490, 1036, 678, 808, 1702, 1054, 1063, 507, 112, 423, 687, 759, 1091, 757
"K1000960 Tropane, piperidine and pyridine alkaloid biosynthesis", 617, 1409, 2221, 1127, 932, 0, 1985, 1366, 1789, 1138, 1306, 303, 295, 832, 1284, 983, 911, 934, 2204, 1103, 1582, 2484, 1818, 1626, 1046, 172, 513, 1193, 1273, 1708, 1251
"K1000232 Caffeine metabolism", 103, 103, 189, 127, 45, 0, 129, 158, 83, 64, 34, 35, 42, 28, 86, 90, 78, 100, 122, 50, 129, 260, 57, 60, 50, 12, 40, 91, 82, 78, 74
"K1000965 Betalain biosynthesis", 74, 453, 643, 434, 759, 0, 533, 296, 153, 322, 132, 28, 46, 57, 662, 198, 58, 69, 118, 329, 55, 627, 108, 250, 63, 17, 183, 129, 100, 343, 208
"K1000966 Glucosinolate biosynthesis", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"K1000311 Penicillin and cephalosporin biosynthesis", 67, 154, 190, 87, 63, 0, 195, 158, 290, 134, 100, 24, 34, 89, 125, 188, 106, 147, 682, 135, 629, 1508, 240, 274, 232, 9, 51, 191, 155, 178, 132
"beta-Lactam resistance", 3, 15, 18, 11, 11, 0, 27, 15, 13, 8, 8, 5, 6, 7, 13, 11, 24, 11, 10, 10, 9, 26, 19, 27, 10, 1, 4, 11, 17, 11, 14
"K1000521 Streptomycin biosynthesis", 823, 1744, 2605, 1762, 1111, 0, 2380, 1977, 2350, 1591, 1141, 474, 527, 932, 1578, 1397, 1217, 1240, 2757, 1220, 2461, 4394, 2288, 2320, 1661, 168, 727, 1564, 1716, 2081, 1718
"K1000524 Butirosin and neomycin biosynthesis", 107, 180, 342, 233, 130, 0, 223, 250, 284, 148, 121, 50, 58, 90, 201, 179, 147, 120, 293, 112, 164, 562, 269, 252, 170, 26, 90, 164, 193, 217, 227
"K1000231 Puromycin biosynthesis", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
"K1000401 Novobiocin biosynthesis", 464, 1131, 1792, 823, 672, 0, 1491, 894, 1161, 827, 998, 231, 217, 485, 975, 751, 669, 713, 1331, 843, 1004, 1871, 1120, 1183, 758, 122, 341, 902, 843, 1229, 887
"K1000981 Insect hormone biosynthesis", 5, 2, 5, 6, 0, 0, 2, 7, 0, 1, 1, 4, 0, 0, 4, 6, 0, 2, 0, 1, 0, 13, 0, 1, 1, 1, 0, 2, 2, 0, 0
"K1000930 Caprolactam degradation", 398, 878, 950, 804, 789, 0, 1687, 821, 1656, 1085, 847, 245, 225, 786, 743, 659, 642, 585, 2036, 689, 1566, 1911, 1745, 1520, 646, 75, 359, 889, 1156, 1410, 1267
"K1000621 Dioxin degradation", 29, 84, 92, 59, 54, 0, 120, 89, 173, 65, 79, 29, 20, 56, 59, 99, 47, 59, 251, 60, 248, 323, 199, 132, 81, 10, 30, 71, 116, 117, 113
"K1000622 Xylene degradation", 181, 409, 585, 395, 269, 0, 508, 500, 807, 361, 317, 151, 101, 328, 297, 392, 299, 346, 1102, 330, 1062, 1521, 863, 716, 447, 42, 180, 386, 591, 528, 609
"K1000361 Chlorocyclohexane and chlorobenzene degradation", 683, 1237, 1523, 1041, 972, 0, 2439, 1079, 1812, 1478, 1202, 251, 253, 994, 1022, 845, 1056, 926, 2336, 955, 1684, 2178, 2161, 1762, 1027, 112, 481, 1129, 1462, 1837, 1717
"3-Chloroacrylic acid degradation", 1017, 2106, 2803, 2003, 2591, 0, 2817, 2844, 2984, 1956, 1572, 478, 485, 1471, 2110, 1494, 1534, 1406, 2823, 1879, 2048, 2709, 3751, 2968, 1512, 238, 997, 1770, 2584, 2532, 2428
"K1000623 Toluene degradation", 252, 400, 532, 396, 421, 0, 798, 430, 963, 452, 511, 139, 123, 429, 418, 362, 384, 346, 1175, 407, 733, 1000, 1005, 861, 437, 41, 198, 418, 658, 780, 594
"1,2-Dichloroethane degradation", 1496, 2836, 3005, 2285, 2573, 0, 5282, 3313, 3444, 3584, 2694, 613, 592, 2357, 2233, 1692, 2067, 1955, 4260, 2018, 2475, 2920, 4475, 3841, 1813, 282, 1121, 2521, 3143, 4217, 3921
"K1000625 Chloroalkane and chloroalkene degradation", 5, 10, 14, 4, 4, 0, 27, 19, 14, 10, 23, 1, 0, 5, 11, 20, 7, 4, 12, 7, 5, 21, 7, 4, 2, 5, 6, 6, 6, 5, 9
"K1000643 Styrene degradation", 603, 1475, 1659, 1345, 1913, 0, 2102, 1639, 2420, 1454, 1163, 317, 306, 1110, 1202, 1015, 1032, 942, 2329, 1200, 1740, 2123, 2488, 2326, 991, 130, 586, 1141, 1631, 2014, 1718
"K1000627 Aminobenzoate degradation", 608, 1148, 1316, 976, 889, 0, 2258, 1043, 1751, 1412, 1119, 267, 230, 1020, 895, 733, 940, 828, 1974, 875, 1304, 1088, 2066, 1621, 886, 107, 460, 1048, 1361, 1768, 1624
"K1000626 Naphthalene degradation", 67, 157, 204, 137, 134, 0, 192, 238, 350, 166, 113, 37, 56, 124, 133, 140, 101, 109, 385, 150, 370, 588, 348, 289, 127, 20, 66, 115, 216, 210, 195
"K1000642 Ethylbenzene degradation", 118, 261, 285, 220, 138, 0, 340, 233, 515, 205, 177, 84, 68, 185, 198, 190, 192, 190, 473, 210, 384, 507, 557, 392, 205, 23, 113, 227, 357, 319, 260
"Fluorene degradation", 95, 169, 239, 186, 84, 0, 176, 437, 328, 130, 106, 69, 69, 115, 144, 197, 156, 136, 292, 109, 310, 448, 337, 297, 164, 35, 82, 156, 244, 154, 152
"Carbazole degradation", 116, 238, 272, 252, 128, 0, 310, 302, 657, 199, 171, 99, 70, 200, 179, 215, 168, 159, 476, 174, 490, 568, 546, 492, 253, 26, 114, 206, 360, 357, 256
"Benzoate degradation via CoA ligation", 1476, 3386, 4117, 3139, 3066, 0, 5011, 3451, 6496, 3285, 2744, 904, 824, 2857, 2873, 2630, 2352, 2458, 7450, 2965, 6500, 8975, 7496, 5603, 3124, 297, 1562, 3285, 4864, 4854, 4281
"K1000362 Benzoate degradation", 671, 1285, 1678, 1333, 879, 0, 2002, 1668, 2449, 1194, 1110, 446, 350, 978, 1121, 1003, 1100, 976, 2367, 1011, 1795, 2248, 2552, 2259, 1145, 146, 565, 1197, 1842, 1732, 1686
"K1000791 Atrazine degradation", 66, 199, 234, 160, 127, 0, 314, 165, 438, 190, 160, 45, 49, 177, 136, 136, 141, 136, 427, 147, 359, 570, 314, 487, 181, 20, 60, 175, 208, 274, 281
"K1000363 Bisphenol degradation", 1, 4, 8, 8, 1, 0, 8, 9, 14, 4, 2, 1, 0, 6, 16, 2, 3, 8, 4, 6, 4, 14, 18, 10, 4, 1, 1, 13, 13, 9, 8
"K1000624 Polycyclic aromatic hydrocarbon degradation", 455, 978, 1348, 960, 1716, 0, 1309, 1080, 1689, 832, 733, 281, 225, 743, 1135, 645, 724, 686, 1185, 1114, 950, 906, 2010, 1565, 808, 92, 477, 747, 1376, 1134, 1084
"K1000633 Nitrotoluene degradation", 2637, 3765, 3676, 4154, 2058, 0, 4931, 2991, 8611, 3659, 2791, 1153, 1077, 3627, 2575, 2148, 3770, 3060, 5678, 2404, 4196, 2352, 8846, 5761, 4272, 251, 1965, 2659, 5753, 5564, 4253
"K1000281 Geraniol degradation", 342, 725, 795, 678, 445, 0, 993, 618, 1627, 562, 513, 227, 189, 566, 626, 563, 502, 539, 1629, 579, 1320, 2114, 1584, 1275, 692, 63, 326, 740, 1027, 907, 782
"K1000364 Fluorobenzoate degradation", 517, 936, 1086, 749, 752, 0, 1901, 774, 1213, 1168, 951, 181, 173, 772, 731, 551, 795, 659, 1513, 708, 894, 693, 1582, 1235, 673, 86, 363, 846, 1045, 1425, 1364
"K1000980 Metabolism of xenobiotics by cytochrome P450", 720, 1393, 2172, 1453, 2231, 0, 2361, 1896, 2194, 1416, 1249, 403, 371, 1168, 1583, 1084, 1173, 1023, 2046, 1472, 1360, 1975, 2605, 2206, 1071, 157, 803, 1257, 1872, 1901, 1714
"K1000982 Drug metabolism - cytochrome P450", 746, 1445, 2288, 1511, 2275, 0, 2443, 1983, 2321, 1474, 1290, 421, 378, 1195, 1639, 1147, 1220, 1082, 2158, 1505, 1421, 2161, 2719, 2300, 1118, 164, 830, 1310, 1955, 1975, 1763
"K1000983 Drug metabolism - other enzymes", 697, 1496, 2099, 1361, 857, 0, 2086, 1676, 2318, 1198, 994, 412, 389, 1066, 1184, 1350, 963, 1223, 3235, 1098, 3044, 5115, 2582, 2034, 1447, 108, 605, 1532, 1862, 1973, 1339
"K1003020 RNA polymerase", 4350, 10543, 15116, 10794, 8061, 0, 12801, 8934, 11854, 7635, 7054, 2426, 2384, 7360, 10414, 5748, 6299, 6890, 12158, 8177, 14009, 11807, 19987, 10358, 10051, 747, 5191, 8799, 13337, 13115, 7358
"K1003022 Basal transcription factors", 120, 194, 386, 289, 200, 0, 291, 544, 84, 205, 85, 35, 65, 53, 215, 226, 118, 80, 78, 157, 47, 466, 95, 118, 58, 46, 134, 164, 102, 202, 221
"K1003040 Spliceosome", 1225, 2155, 2935, 2834, 1072, 0, 2096, 5321, 177, 1233, 582, 411, 754, 203, 2088, 1786, 860, 865, 251, 773, 141, 4263, 142, 557, 330, 465, 1339, 1706, 762, 1279, 1142
"K1003010 Ribosome", 13266, 28044, 41499, 33909, 20011, 0, 37345, 37570, 19701, 22876, 17026, 7356, 8381, 13940, 26603, 19548, 16958, 17957, 23227, 18177, 22624, 44320, 26104, 22203, 18587, 3041, 14192, 27410, 22999, 32275, 20278
"K1000970 Aminoacyl-tRNA biosynthesis", 2869, 5743, 8245, 6303, 3884, 0, 8621, 6799, 11020, 5086, 3880, 1656, 1675, 4054, 5144, 5398, 4180, 5112, 13038, 4601, 12922, 21287, 10662, 9676, 6538, 541, 2679, 6291, 7434, 7710, 5737
"K1003060 Protein export", 2407, 5321, 7630, 5351, 4329, 0, 8061, 5703, 5775, 4618, 3516, 1316, 1257, 3201, 4798, 3656, 4037, 3603, 6792, 4169, 7551, 10404, 6796, 5969, 5642, 426, 2374, 4663, 5201, 6841, 4530
"K1004130 SNARE interactions in vesicular transport", 65, 146, 220, 185, 91, 0, 123, 408, 7, 82, 34, 23, 42, 4, 141, 149, 33, 54, 13, 57, 6, 452, 6, 26, 23, 28, 103, 77, 27, 53, 85
"K1004120 Ubiquitin mediated proteolysis", 713, 1209, 2043, 1461, 723, 0, 1232, 3120, 77, 763, 319, 251, 440, 87, 1256, 1139, 497, 454, 116, 437, 67, 2904, 96, 290, 164, 258, 824, 867, 454, 712, 730
"K1003050 Proteasome", 745, 1439, 2070, 2153, 915, 0, 1584, 2499, 1278, 949, 757, 492, 539, 906, 1416, 1168, 889, 869, 1250, 759, 1272, 2794, 2018, 1109, 1313, 213, 1061, 1095, 1670, 1366, 913
"K1003018 RNA degradation", 5785, 12456, 18304, 15474, 12663, 0, 16586, 11520, 13228, 9647, 7956, 2844, 3055, 8859, 14815, 7182, 8410, 8725, 15497, 11092, 14005, 19156, 21039, 12592, 9123, 997, 6124, 11541, 14324, 15620, 10776
"K1003030 DNA replication", 1316, 2761, 3989, 3020, 1840, 0, 4237, 3194, 4727, 2698, 1993, 727, 780, 2096, 2447, 2823, 1825, 2458, 6939, 2269, 7650, 11971, 5128, 4467, 3381, 218, 1364, 2907, 3554, 4006, 2761
"K1003410 Base excision repair", 751, 1521, 1919, 1728, 1028, 0, 2265, 1807, 3668, 1325, 1062, 459, 454, 1239, 1342, 1688, 1111, 1401, 4855, 1284, 4563, 8322, 3489, 3282, 1696, 132, 718, 1674, 2239, 2096, 1594
"K1003420 Nucleotide excision repair", 1179, 2627, 3701, 2865, 1682, 0, 3599, 3051, 5636, 2121, 1754, 729, 715, 1934, 2281, 2682, 1778, 2448, 7805, 2243, 8275, 14097, 5297, 5166, 3328, 208, 1206, 2668, 3468, 3600, 2542
"K1003430 Mismatch repair", 1438, 3016, 4311, 3281, 2157, 0, 4844, 3303, 5707, 2970, 2261, 826, 851, 2260, 2668, 2967, 2111, 2609, 7312, 2577, 7354, 12262, 5825, 5458, 3385, 224, 1451, 3135, 3955, 4471, 3099
"K1003440 Homologous recombination", 1458, 3145, 4714, 3431, 2206, 0, 4876, 3473, 5604, 3087, 2320, 909, 902, 2383, 2922, 3164, 2113, 2837, 7736, 2630, 7805, 12671, 6069, 5362, 3540, 253, 1559, 3358, 4118, 4862, 3220
"K1003450 Non-homologous end-joining", 367, 593, 702, 908, 468, 0, 1071, 742, 1100, 789, 483, 162, 171, 401, 480, 420, 555, 472, 1075, 439, 962, 1574, 913, 985, 498, 66, 268, 548, 631, 816, 644
"K1002010 ABC transporters", 8033, 14554, 17787, 14640, 10516, 0, 25290, 15861, 27996, 16352, 11835, 4227, 3891, 12499, 11411, 12597, 11795, 12820, 40675, 11383, 42571, 58361, 27991, 25306, 18314, 1310, 6461, 15106, 19248, 22121, 16787
"K1002060 Phosphotransferase system (PTS)", 196, 338, 457, 290, 337, 0, 593, 311, 762, 405, 321, 105, 74, 352, 288, 302, 251, 307, 1044, 280, 823, 1362, 1009, 598, 340, 22, 155, 390, 623, 648, 440
"K1003070 Bacterial secretion system", 3035, 6452, 8887, 6198, 5141, 0, 10807, 6167, 7465, 6159, 4657, 1574, 1571, 4125, 5592, 4237, 4761, 4401, 7936, 4974, 8070, 10443, 8312, 7756, 6488, 516, 2729, 5896, 6259, 8878, 5829
"K1002020 Two-component system", 6969, 14622, 21242, 13267, 12720, 0, 24153, 14782, 20858, 14913, 11580, 3660, 3635, 9351, 15258, 10371, 12495, 11278, 21178, 12585, 17599, 26448, 22525, 21880, 13372, 1254, 6716, 14726, 16012, 20512, 15183
"K1004010 MAPK signaling pathway", 1038, 1785, 2240, 2199, 741, 0, 1541, 4080, 127, 835, 392, 378, 590, 106, 1667, 1376, 651, 758, 143, 634, 56, 3415, 79, 346, 267, 330, 1145, 1595, 605, 688, 686
"K1004013 MAPK signaling pathway - fly", 129, 253, 379, 280, 96, 0, 167, 636, 12, 101, 50, 38, 70, 2, 260, 301, 78, 102, 18, 177, 5, 526, 4, 31, 34, 52, 182, 166, 58, 90, 116
"K1004011 MAPK signaling pathway - yeast", 304, 537, 984, 738, 494, 0, 697, 1248, 215, 395, 212, 119, 149, 128, 583, 401, 281, 226, 207, 285, 137, 1179, 196, 276, 144, 107, 321, 432, 229, 391, 441
"K1004012 ErbB signaling pathway", 312, 565, 915, 689, 294, 0, 446, 1431, 29, 247, 112, 122, 170, 15, 584, 551, 212, 239, 38, 295, 22, 1169, 31, 107, 92, 110, 380, 426, 159, 201, 287
"K1004310 Wnt signaling pathway", 475, 966, 1319, 1120, 423, 0, 881, 2012, 82, 495, 195, 199, 326, 60, 847, 744, 314, 390, 80, 324, 45, 1932, 77, 190, 138, 185, 541, 767, 358, 448, 409
"K1004330 Notch signaling pathway", 118, 198, 250, 188, 87, 0, 169, 346, 28, 104, 49, 41, 54, 16, 140, 136, 78, 89, 34, 81, 15, 294, 38, 54, 29, 22, 72, 149, 96, 66, 85
"K1004340 Hedgehog signaling pathway", 133, 191, 434, 259, 141, 0, 156, 521, 17, 115, 42, 34, 59, 8, 210, 204, 92, 119, 16, 91, 12, 459, 13, 34, 22, 43, 99, 168, 80, 93, 99
"K1004350 TGF-beta signaling pathway", 225, 392, 658, 547, 196, 0, 423, 947, 33, 245, 91, 101, 159, 36, 442, 468, 147, 188, 44, 227, 16, 963, 22, 96, 75, 93, 246, 325, 156, 262, 226
"K1004370 VEGF signaling pathway", 294, 712, 859, 746, 280, 0, 552, 1308, 23, 294, 124, 136, 200, 21, 613, 576, 173, 248, 37, 293, 14, 1329, 19, 129, 148, 116, 436, 556, 214, 236, 238
"K1004630 Jak-STAT signaling pathway", 85, 138, 164, 160, 48, 0, 123, 335, 19, 59, 25, 24, 51, 7, 118, 108, 51, 57, 11, 48, 9, 282, 16, 34, 27, 18, 92, 116, 52, 49, 67
"K1004020 Calcium signaling pathway", 457, 743, 1402, 1051, 396, 0, 672, 1863, 71, 375, 155, 180, 223, 35, 723, 567, 368, 353, 49, 259, 31, 1569, 43, 202, 145, 128, 451, 728, 292, 252, 305
"K1004070 Phosphatidylinositol signaling system", 314, 561, 849, 728, 342, 0, 619, 1198, 344, 333, 188, 137, 183, 132, 563, 461, 264, 285, 464, 257, 452, 1641, 348, 446, 243, 75, 334, 501, 371, 350, 345
"K1004150 mTOR signaling pathway", 261, 442, 761, 695, 262, 0, 446, 1252, 23, 274, 96, 119, 175, 21, 525, 501, 173, 215, 46, 279, 37, 1028, 22, 96, 91, 93, 296, 367, 171, 241, 291
"K1004080 Neuroactive ligand-receptor interaction", 46, 59, 124, 66, 29, 0, 45, 119, 14, 21, 7, 17, 30, 6, 41, 47, 43, 28, 10, 46, 13, 155, 17, 13, 28, 12, 14, 57, 52, 22, 12
"K1004060 Cytokine-cytokine receptor interaction", 18, 13, 37, 15, 1, 0, 14, 27, 3, 8, 4, 5, 5, 10, 10, 11, 12, 10, 3, 2, 0, 35, 2, 3, 2, 7, 9, 15, 5, 2, 3
"K1004512 ECM-receptor interaction", 93, 125, 206, 158, 58, 0, 154, 297, 65, 81, 46, 55, 51, 33, 108, 116, 62, 121, 35, 53, 25, 208, 34, 52, 37, 22, 59, 146, 95, 60, 36
"K1004514 Cell adhesion molecules (CAMs)", 34, 35, 65, 44, 20, 0, 46, 109, 9, 27, 9, 14, 19, 13, 41, 44, 23, 44, 6, 11, 2, 82, 12, 9, 10, 10, 10, 40, 23, 10, 5
"K1004144 Endocytosis", 916, 1460, 2216, 2134, 759, 0, 1468, 4131, 129, 829, 336, 292, 620, 105, 1601, 1264, 692, 723, 166, 532, 88, 3156, 100, 347, 251, 329, 992, 1344, 597, 736, 823
"K1004142 Lysosome", 1147, 2409, 3428, 2149, 961, 0, 1963, 5683, 411, 1019, 596, 477, 606, 208, 2134, 1850, 867, 947, 559, 757, 550, 5027, 293, 790, 594, 464, 1353, 1960, 968, 1076, 914
"K1004146 Peroxisome", 1910, 3717, 4804, 4021, 2737, 0, 5518, 5626, 4687, 3440, 2511, 847, 984, 2169, 3249, 2909, 2846, 2825, 6769, 2515, 5813, 10582, 5619, 4263, 2776, 398, 1531, 3510, 3993, 4363, 4449
"K1004140 Regulation of autophagy", 106, 247, 444, 300, 145, 0, 183, 531, 8, 118, 43, 54, 71, 13, 237, 197, 125, 82, 22, 91, 20, 554, 19, 61, 63, 41, 144, 137, 84, 106, 126
"K1002030 Bacterial chemotaxis", 993, 2157, 2964, 2695, 1891, 0, 3644, 2197, 2662, 2395, 1596, 519, 661, 1364, 2194, 1558, 1342, 1283, 2596, 1507, 2120, 3811, 2353, 3333, 1618, 201, 954, 2053, 1826, 3225, 2021
"K1002040 Flagellar assembly", 570, 1247, 1822, 1546, 544, 0, 1765, 1845, 1204, 799, 718, 313, 437, 460, 1315, 1258, 519, 1189, 2732, 777, 2629, 6408, 918, 1380, 1230, 144, 545, 1575, 890, 1483, 611
"K1004810 Regulation of actin cytoskeleton", 1359, 3192, 3325, 2619, 906, 0, 2160, 5488, 144, 1045, 639, 637, 913, 114, 2839, 2176, 847, 1250, 130, 770, 68, 4293, 99, 494, 464, 407, 1992, 2517, 1218, 978, 837
"K1004110 Cell cycle", 447, 810, 1205, 1065, 391, 0, 727, 1922, 47, 462, 192, 158, 291, 79, 819, 705, 293, 296, 80, 277, 72, 1796, 54, 193, 144, 161, 568, 583, 274, 419, 439
"K1004111 Cell cycle - yeast", 477, 865, 1379, 1115, 458, 0, 862, 2082, 97, 488, 232, 156, 291, 86, 903, 773, 311, 289, 111, 323, 96, 1804, 100, 222, 162, 180, 596, 587, 330, 449, 542
"K1004112 Cell cycle - Caulobacter", 3742, 8097, 11943, 8696, 6427, 0, 13297, 8363, 9550, 8111, 6199, 2062, 2067, 5472, 7411, 5577, 5544, 5649, 9949, 6267, 8927, 11385, 10952, 9430, 6991, 649, 3715, 7492, 8407, 12282, 7724
"K1004113 Meiosis - yeast", 416, 731, 1217, 932, 524, 0, 966, 1738, 596, 648, 367, 143, 222, 346, 795, 628, 404, 313, 567, 320, 357, 1443, 528, 675, 257, 168, 391, 559, 481, 589, 710
"K1004114 Oocyte meiosis", 497, 1021, 1547, 1450, 495, 0, 941, 2415, 59, 605, 217, 200, 390, 59, 1076, 954, 322, 399, 84, 419, 51, 2424, 46, 226, 150, 203, 639, 816, 343, 514, 521
"K1004210 Apoptosis", 250, 384, 531, 473, 346, 0, 816, 615, 282, 426, 302, 92, 126, 194, 341, 283, 279, 192, 323, 254, 209, 638, 381, 341, 150, 47, 239, 378, 315, 451, 438
"K1004115 p53 signaling pathway", 189, 283, 381, 302, 273, 0, 659, 400, 241, 341, 254, 60, 79, 166, 256, 213, 219, 148, 270, 209, 193, 360, 346, 285, 115, 38, 200, 294, 263, 374, 363
"K1004510 Focal adhesion", 1336, 3065, 3240, 2546, 900, 0, 2114, 5139, 214, 1014, 568, 693, 822, 124, 2715, 2062, 856, 1345, 150, 769, 75, 3913, 117, 476, 434, 384, 1802, 2435, 1218, 924, 752
"K1004520 Adherens junction", 942, 2292, 2306, 1729, 575, 0, 1461, 3500, 96, 689, 416, 477, 624, 76, 2047, 1548, 624, 968, 88, 522, 35, 2614, 57, 321, 326, 258, 1377, 1795, 906, 688, 511
"K1004530 Tight junction", 1175, 2790, 2846, 2220, 819, 0, 1801, 4602, 122, 840, 491, 556, 742, 92, 2475, 1811, 742, 1127, 95, 598, 50, 3656, 63, 421, 356, 352, 1773, 2146, 1049, 865, 726
"K1004540 Gap junction", 536, 1157, 1856, 1420, 543, 0, 889, 2641, 59, 568, 266, 262, 343, 58, 1278, 1035, 384, 669, 85, 528, 39, 1980, 35, 230, 201, 245, 691, 923, 465, 566, 468
"Immune System", 2994, 5942, 7290, 6164, 2171, 0, 4733, 12129, 622, 2439, 1310, 1212, 1856, 446, 5497, 4487, 2063, 2552, 668, 1896, 457, 9780, 466, 1249, 1025, 923, 3518, 5112, 2322, 2372, 2185
"Endocrine System", 3635, 7881, 10973, 8102, 5273, 0, 8380, 12762, 5711, 5134, 3257, 1779, 2168, 2505, 7255, 5653, 3921, 4390, 6972, 4476, 6832, 17904, 5831, 5844, 4253, 933, 3724, 6314, 5313, 6344, 5715
"Circulatory System", 1504, 2011, 3980, 2908, 1949, 0, 1953, 8896, 423, 1144, 473, 547, 1167, 216, 2566, 2825, 1194, 936, 245, 1207, 589, 8153, 369, 766, 677, 703, 1489, 1652, 1024, 770, 1307
"Excretory System", 894, 1719, 2875, 1894, 860, 0, 1766, 5213, 1062, 1085, 670, 428, 548, 491, 1725, 1637, 1040, 1177, 1205, 880, 1186, 4288, 1021, 1023, 893, 433, 1184, 1894, 1125, 1213, 1063
"Nervous System", 769, 1639, 2301, 1961, 707, 0, 1340, 3582, 90, 784, 330, 310, 573, 73, 1598, 1404, 528, 651, 98, 626, 51, 3501, 73, 308, 277, 301, 1013, 1343, 536, 664, 698
"Sensory System", 155, 237, 348, 373, 106, 0, 230, 591, 20, 139, 52, 47, 95, 12, 244, 233, 82, 91, 21, 71, 13, 539, 19, 68, 39, 42, 157, 241, 83, 102, 103
"K2000032 Development", 584, 1128, 1478, 1186, 429, 0, 842, 2249, 45, 483, 214, 205, 380, 34, 1006, 934, 391, 462, 59, 464, 22, 2028, 27, 176, 176, 193, 664, 869, 376, 376, 426
