#Datasets,4_TES_45_mRNA,5_TES_129_mRNA,7_TES_027_mRNA,17_TES_144_mRNA,23_TES_136_mRNA,32_TES_43_mRNA,37_TES_034_mRNA,42_TES_027_mRNA,44_TES_140_mRNA,49_TES_40_mRNA,55_TES_134_mRNA,58_TES_130_merged_mRNA,59_TES_139_mRNA,66_TES_026_mRNA,70_TES_135_mRNA,73_TES_031_mRNA,79_TES_35_mRNA,85_TES_029_mRNA,86_TES_44_mRNA,87_TES_128_mRNA,90_TES_138_mRNA,104_TES_131_mRNA,110_TES_036_mRNA,113_TES_122_mRNA,117_TES_141_mRNA,119_TES_042_mRNA,122_TES_121_mRNA,123_TES_033_mRNA,130_TES_133_mRNA,137_TES_038_mRNA,143_TES_025_mRNA
"Candidatus Entotheonella gemina",499.0,999.0,801.0,567.0,1371.0,0.0,2883.0,503.0,1980.0,1907.0,1586.0,207.0,131.0,1470.0,958.0,574.0,882.0,459.0,3223.0,914.0,1863.0,280.0,2966.0,1321.0,519.0,66.0,478.0,731.0,1782.0,1931.0,2247.0
"Candidatus Nitrospira nitrificans",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nitrospira moscoviensis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nitrospira sp. SCGC AG-212-E16",0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Caulobacter henricii",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
"Caedimonas varicaedens",180.0,313.0,511.0,489.0,238.0,0.0,745.0,358.0,928.0,517.0,453.0,148.0,107.0,704.0,420.0,391.0,781.0,254.0,894.0,300.0,954.0,467.0,566.0,378.0,790.0,43.0,350.0,245.0,541.0,640.0,244.0
"Holospora undulata",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,70.0,0.0,0.0,0.0,0.0
"Aureimonas phyllosphaerae",0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,143.0,178.0,0.0,0.0,0.0,0.0,261.0,0.0
"Bartonella quintana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beijerinckia indica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
"Beijerinckia sp. 28-YEA-48",0.0,0.0,230.0,139.0,149.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,116.0,0.0,136.0,0.0,0.0,0.0,337.0,116.0,0.0,0.0,151.0,0.0,240.0,0.0
"Methylocapsa acidiphila",55.0,0.0,0.0,0.0,176.0,0.0,289.0,0.0,198.0,184.0,91.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,230.0,214.0
"Methylocapsa aurea",65.0,112.0,0.0,0.0,273.0,0.0,272.0,0.0,269.0,259.0,146.0,0.0,29.0,137.0,116.0,0.0,119.0,0.0,213.0,153.0,235.0,0.0,165.0,291.0,0.0,12.0,0.0,0.0,0.0,293.0,353.0
"Methylocapsa palsarum",0.0,0.0,203.0,162.0,272.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,102.0,0.0,176.0,0.0,0.0,0.0,322.0,101.0,0.0,0.0,118.0,0.0,485.0,0.0
"Methylocella silvestris",53.0,105.0,0.0,0.0,105.0,0.0,166.0,0.0,0.0,124.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,160.0
"Methyloferula stellata",56.0,144.0,193.0,0.0,139.0,0.0,0.0,141.0,163.0,0.0,94.0,51.0,0.0,0.0,152.0,0.0,103.0,0.0,0.0,102.0,0.0,0.0,0.0,158.0,0.0,14.0,65.0,0.0,124.0,0.0,105.0
"Afipia carboxidovorans",212.0,389.0,181.0,211.0,127.0,0.0,780.0,173.0,1456.0,537.0,488.0,216.0,51.0,2261.0,477.0,484.0,543.0,98.0,1325.0,158.0,2305.0,0.0,2054.0,217.0,307.0,48.0,322.0,141.0,1260.0,175.0,703.0
"Afipia felis",140.0,215.0,289.0,0.0,228.0,0.0,497.0,0.0,497.0,281.0,288.0,58.0,36.0,281.0,121.0,95.0,292.0,100.0,481.0,223.0,559.0,0.0,582.0,403.0,228.0,0.0,87.0,267.0,373.0,278.0,165.0
"Afipia sp. GAS231",0.0,0.0,0.0,137.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0
"Afipia sp. P52-10",56.0,163.0,0.0,0.0,136.0,0.0,327.0,0.0,316.0,166.0,167.0,30.0,0.0,164.0,117.0,85.0,111.0,0.0,282.0,92.0,227.0,0.0,353.0,251.0,0.0,0.0,62.0,0.0,242.0,262.0,167.0
"Bradyrhizobium canariense",0.0,0.0,699.0,574.0,477.0,0.0,0.0,691.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,278.0,0.0,438.0,0.0,457.0,0.0,1070.0,295.0,0.0,0.0,490.0,0.0,586.0,0.0
"Bradyrhizobium diazoefficiens",0.0,0.0,0.0,0.0,166.0,0.0,258.0,0.0,0.0,139.0,114.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,162.0,86.0,0.0,0.0,205.0,153.0,0.0,0.0,0.0,0.0,130.0,168.0,106.0
"Bradyrhizobium elkanii",113.0,201.0,202.0,148.0,210.0,0.0,499.0,132.0,299.0,329.0,207.0,49.0,42.0,167.0,175.0,160.0,173.0,91.0,315.0,181.0,224.0,0.0,321.0,389.0,0.0,17.0,89.0,126.0,213.0,266.0,316.0
"Bradyrhizobium erythrophlei",0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0
"Bradyrhizobium japonicum",184.0,638.0,323.0,288.0,446.0,0.0,1019.0,206.0,1370.0,631.0,493.0,174.0,66.0,1125.0,363.0,438.0,488.0,132.0,1499.0,353.0,2076.0,235.0,2268.0,561.0,265.0,46.0,258.0,275.0,1321.0,521.0,656.0
"Bradyrhizobium lablabi",0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bradyrhizobium ottawaense",0.0,0.0,260.0,147.0,336.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,0.0,557.0,0.0,0.0,0.0,149.0,0.0,312.0,0.0
"Bradyrhizobium valentinum",0.0,0.0,0.0,0.0,113.0,0.0,285.0,0.0,152.0,214.0,127.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,192.0,188.0,0.0,11.0,0.0,0.0,124.0,220.0,137.0
"Bradyrhizobium sp. Ai1a-2",0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
"Bradyrhizobium sp. ARR65",127.0,234.0,157.0,117.0,250.0,0.0,660.0,0.0,429.0,422.0,274.0,46.0,47.0,312.0,145.0,131.0,170.0,90.0,564.0,174.0,361.0,0.0,570.0,458.0,0.0,0.0,91.0,198.0,338.0,483.0,449.0
"Bradyrhizobium sp. Cp5.3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bradyrhizobium sp. Ec3.3",64.0,163.0,0.0,0.0,178.0,0.0,472.0,0.0,287.0,331.0,230.0,30.0,32.0,205.0,0.0,83.0,110.0,0.0,384.0,110.0,218.0,0.0,339.0,283.0,0.0,0.0,0.0,117.0,200.0,380.0,345.0
"Bradyrhizobium sp. LTSPM299",113.0,224.0,253.0,120.0,202.0,0.0,559.0,134.0,399.0,391.0,231.0,58.0,52.0,299.0,242.0,191.0,180.0,97.0,531.0,173.0,477.0,0.0,674.0,348.0,109.0,17.0,97.0,153.0,405.0,257.0,332.0
"Bradyrhizobium sp. ORS 285",85.0,217.0,335.0,261.0,192.0,0.0,371.0,222.0,674.0,156.0,221.0,61.0,55.0,294.0,184.0,177.0,231.0,180.0,362.0,220.0,1422.0,0.0,1610.0,223.0,313.0,21.0,123.0,250.0,940.0,146.0,152.0
"Bradyrhizobium sp. Rc2d",0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0
"Bradyrhizobium sp. Rc3b",0.0,0.0,722.0,931.0,561.0,0.0,0.0,629.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,299.0,0.0,821.0,0.0,336.0,0.0,947.0,1237.0,0.0,0.0,606.0,0.0,727.0,0.0
"Bradyrhizobium sp. STM 3809",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.0,117.0,0.0,39.0,0.0,552.0,0.0,101.0,163.0,0.0,896.0,0.0,2980.0,0.0,1060.0,188.0,0.0,0.0,0.0,99.0,609.0,360.0,369.0
"Bradyrhizobium sp. STM 3843",92.0,164.0,165.0,0.0,113.0,0.0,402.0,0.0,267.0,199.0,159.0,34.0,50.0,117.0,124.0,85.0,125.0,86.0,194.0,93.0,0.0,0.0,216.0,304.0,0.0,15.0,70.0,131.0,169.0,294.0,195.0
"Bradyrhizobium sp. th.b2",0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,132.0,87.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0
"Bradyrhizobium sp. Tv2a-2",201.0,468.0,228.0,175.0,438.0,0.0,1033.0,154.0,747.0,658.0,473.0,88.0,49.0,474.0,315.0,257.0,317.0,101.0,766.0,194.0,555.0,0.0,988.0,605.0,133.0,23.0,179.0,266.0,639.0,564.0,872.0
"Bradyrhizobium sp. URHA0002",80.0,148.0,0.0,0.0,0.0,0.0,389.0,0.0,224.0,211.0,165.0,50.0,0.0,103.0,130.0,0.0,135.0,0.0,217.0,0.0,0.0,0.0,208.0,174.0,0.0,19.0,57.0,0.0,132.0,147.0,183.0
"Bradyrhizobium sp. URHD0069",120.0,283.0,205.0,164.0,238.0,0.0,726.0,136.0,444.0,472.0,331.0,70.0,100.0,302.0,169.0,171.0,272.0,102.0,634.0,241.0,510.0,0.0,842.0,547.0,0.0,29.0,120.0,185.0,506.0,388.0,402.0
"Bradyrhizobium sp. WSM2254",0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rhodopseudomonas palustris",95.0,193.0,180.0,149.0,163.0,0.0,368.0,151.0,351.0,223.0,170.0,40.0,48.0,131.0,150.0,126.0,139.0,0.0,263.0,138.0,206.0,0.0,342.0,337.0,0.0,17.0,65.0,130.0,216.0,241.0,227.0
"Brucella anthropi",66.0,0.0,0.0,163.0,246.0,0.0,319.0,0.0,900.0,278.0,210.0,42.0,53.0,515.0,178.0,160.0,269.0,0.0,717.0,168.0,1020.0,0.0,1836.0,171.0,391.0,10.0,106.0,0.0,982.0,158.0,282.0
"Brucella melitensis",296.0,405.0,537.0,405.0,631.0,0.0,1146.0,253.0,2804.0,799.0,902.0,342.0,113.0,1735.0,890.0,614.0,1056.0,186.0,3193.0,423.0,1778.0,488.0,2622.0,588.0,944.0,58.0,561.0,285.0,1749.0,446.0,813.0
"Pelagibacterium halotolerans",102.0,124.0,220.0,210.0,0.0,0.0,451.0,136.0,2154.0,334.0,320.0,76.0,69.0,675.0,296.0,154.0,428.0,96.0,783.0,133.0,805.0,0.0,846.0,199.0,414.0,21.0,259.0,121.0,508.0,383.0,233.0
"Hyphomicrobium sp. SCN 65-11",0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Prosthecomicrobium hirschii",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rhodoplanes sp. Z2-YC6860",1677.0,2592.0,1868.0,1391.0,1817.0,0.0,6238.0,1351.0,5620.0,3326.0,2964.0,546.0,362.0,2180.0,1937.0,1793.0,2283.0,1181.0,3496.0,1641.0,2360.0,959.0,5242.0,4324.0,1284.0,160.0,839.0,1540.0,3340.0,2970.0,3810.0
"Bauldia litoralis",0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0
"Methylobacterium aquaticum",237.0,459.0,735.0,236.0,1290.0,0.0,1728.0,291.0,1622.0,809.0,696.0,99.0,40.0,850.0,254.0,355.0,524.0,156.0,979.0,871.0,1069.0,261.0,1726.0,918.0,662.0,26.0,154.0,777.0,991.0,566.0,730.0
"Methylobacterium sp. MB200",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methylobacterium sp. yr596",0.0,0.0,0.0,163.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,131.0,0.0,175.0,0.0,0.0,0.0,191.0,295.0,0.0,0.0,157.0,0.0,164.0,0.0
"Microvirga guangxiensis",0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,200.0,224.0,0.0,0.0,0.0,0.0,1761.0,0.0
"Microvirga massiliensis",0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,157.0,158.0,80.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0
"Microvirga ossetica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methylocystis sp. ATCC 49242",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
"Chelativorans sp. J32",0.0,0.0,0.0,0.0,112.0,0.0,212.0,0.0,0.0,190.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,187.0,197.0
"Mesorhizobium loti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mesorhizobium plurifarium",189.0,382.0,412.0,532.0,346.0,0.0,623.0,275.0,1936.0,298.0,551.0,292.0,85.0,929.0,394.0,408.0,595.0,242.0,1202.0,506.0,1888.0,238.0,2983.0,632.0,861.0,32.0,412.0,371.0,1737.0,573.0,704.0
"Mesorhizobium sp. L2C054A000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mesorhizobium sp. STM 4661",0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nitratireductor basaltis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reyranella massiliensis",0.0,102.0,0.0,0.0,0.0,0.0,267.0,0.0,275.0,176.0,153.0,39.0,0.0,145.0,0.0,85.0,105.0,0.0,307.0,0.0,206.0,0.0,348.0,0.0,0.0,13.0,55.0,0.0,217.0,0.0,183.0
"Rhizobium lusitanum",66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,133.0,37.0,0.0,216.0,0.0,0.0,112.0,0.0,275.0,0.0,238.0,0.0,313.0,0.0,166.0,0.0,87.0,0.0,190.0,0.0,239.0
"Rhizobium mongolense",0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,80.0,0.0,96.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,129.0,0.0,0.0,0.0
"Rhizobium tropici",0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rhizobium sp. IRBG74",0.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,152.0,118.0,76.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,145.0,133.0
"Rhizobium sp. PDO1-076",0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,161.0,0.0,178.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sinorhizobium fredii",0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sinorhizobium meliloti",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,0.0,33.0,32.0,96.0,0.0,0.0,135.0,0.0,0.0,0.0,154.0,0.0,216.0,0.0,109.0,13.0,0.0,0.0,139.0,0.0,0.0
"Rhizobiales bacterium GAS113",0.0,0.0,643.0,407.0,846.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,243.0,0.0,509.0,0.0,262.0,0.0,1056.0,487.0,0.0,0.0,432.0,0.0,911.0,0.0
"Rhizobiales bacterium GAS188",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0
"Rhizobiales bacterium GAS191",0.0,0.0,172.0,129.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,420.0,120.0,0.0,0.0,134.0,0.0,297.0,0.0
"Rhizobiales bacterium NRL2",0.0,0.0,0.0,0.0,154.0,0.0,185.0,0.0,0.0,139.0,95.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,191.0,98.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,148.0
"Labrys sp. WJW",74.0,103.0,0.0,123.0,103.0,0.0,250.0,200.0,0.0,194.0,102.0,0.0,31.0,166.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,200.0,145.0,0.0,15.0,50.0,157.0,141.0,0.0,185.0
"Pseudolabrys sp. Root1462",149.0,243.0,289.0,206.0,270.0,0.0,494.0,210.0,609.0,279.0,209.0,39.0,33.0,161.0,206.0,140.0,212.0,168.0,261.0,241.0,195.0,0.0,493.0,596.0,200.0,19.0,85.0,193.0,316.0,426.0,416.0
"Hyphomonas neptunium",68.0,103.0,393.0,311.0,554.0,0.0,465.0,190.0,407.0,678.0,247.0,127.0,104.0,691.0,477.0,439.0,247.0,199.0,608.0,334.0,783.0,0.0,631.0,156.0,516.0,21.0,126.0,107.0,448.0,393.0,536.0
"Magnetococcus marinus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,229.0,0.0,188.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0
"Rhizomicrobium sp. SCGC AG-212-E05",295.0,578.0,674.0,485.0,254.0,0.0,926.0,777.0,311.0,536.0,454.0,148.0,98.0,152.0,581.0,407.0,371.0,329.0,380.0,241.0,218.0,482.0,267.0,452.0,409.0,67.0,216.0,536.0,294.0,283.0,472.0
"Frigidibacter mobilis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,157.0,590.0,0.0,464.0,0.0,189.0,0.0,61.0,0.0,269.0,0.0,0.0
"Rhodovulum sp. PH10",157.0,277.0,267.0,200.0,269.0,0.0,676.0,171.0,559.0,316.0,308.0,66.0,50.0,249.0,200.0,207.0,283.0,176.0,339.0,287.0,328.0,0.0,544.0,492.0,213.0,0.0,127.0,250.0,339.0,399.0,409.0
"Roseibacterium elongatum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Roseovarius sp. 217",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shimia haliotis",0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sulfitobacter brevis",0.0,0.0,167.0,150.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,234.0,471.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acetobacter ghanensis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,30.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,135.0,0.0,0.0,0.0,0.0
"Acetobacter malorum",0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,98.0,75.0,181.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,119.0,0.0,0.0,0.0,0.0
"Acidiphilium angustum",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acidisphaera rubrifaciens",365.0,589.0,893.0,627.0,360.0,0.0,632.0,639.0,620.0,283.0,429.0,379.0,157.0,369.0,582.0,409.0,592.0,377.0,583.0,379.0,488.0,354.0,973.0,637.0,587.0,59.0,340.0,503.0,858.0,455.0,389.0
"Acidocella aminolytica",176.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,257.0,0.0,0.0,170.0,0.0,266.0,318.0,0.0,0.0,0.0,0.0,190.0,0.0,147.0,0.0,95.0,0.0,448.0,0.0,0.0
"Belnapia moabensis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Belnapia sp. F-4-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gluconacetobacter diazotrophicus",160.0,202.0,338.0,390.0,152.0,0.0,434.0,246.0,757.0,201.0,280.0,200.0,72.0,513.0,376.0,437.0,444.0,159.0,747.0,350.0,892.0,0.0,1457.0,247.0,552.0,28.0,274.0,258.0,872.0,203.0,231.0
"Gluconacetobacter sp. SXCC-1",69.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,110.0,31.0,0.0,100.0,0.0,176.0,0.0,0.0,0.0,217.0,0.0,243.0,0.0,172.0,0.0,143.0,0.0,192.0,0.0,0.0
"Granulibacter bethesdensis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0
